大类,中类,小类,细分类,棚格图分类,棚格图名称,商品编码,名称,品牌,规格/容量/尺寸,规格,品种,包装,口味,售价,价格带,尺码,含糖量,成分特点,脂肪含量,是否有机,配方,片数范围,功效,适用人群/场景,进口/国产,肉种,酒精度数,香味,面条形状,加工工艺,颜色,订单数,销售,毛利,每订单门店数,每金额门店数,在售门店数,订单同比增长率,销售同比增长率,上市天数
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,108834517,七武花田438g椰奶味饼干,七武花田,438g,300g/ml以上,休闲饼干,袋,椰子,17.8,15元以上,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0413,0.52596875,-8.229641458,24.2014,1.901253639,80,3.13,2.326343019,420
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,109093634,百醇126g抹茶慕斯味犒享装,格力高,126g,100-299g/ml,休闲饼干,盒,抹茶,20.5,15元以上,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.1562,2.856682516,85.99841516,6.4017,0.350056401,34,0.05,0.05,295
23,2301_饼干糕点,2311_饼干,23116_曲奇饼干,2316,曲奇,109630807,趣多多320g软式小点莓莓喝抹茶味,趣多多,320g,200g/ml以上,曲奇饼干,盒,抹茶,20.8,15-24.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0882,1.671971679,24.26165344,11.3382,0.598096255,217,0.05,0.05,162
23,2301_饼干糕点,2312_糕饼,23123_派,2336,糕点,106554503,好丽友420G清新莓妙味巧克力派,好丽友,420g,300g/ml以上,派,袋,巧克力,21.5,20元以上,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0368,0.595996153,-21.07451394,27.1543,1.677863179,132,-0.85625,-0.880856119,1008
23,2301_饼干糕点,2311_饼干,23115_夹心饼干,2314,饼干,104199317,奥利奥388g冰淇淋夹心抹茶味家庭装,奥利奥,388g,200g/ml以上,夹心饼干,袋,抹茶,21.8,15-24.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0786,1.465318257,4.081383547,12.72,0.682445602,212,-0.36765889,-0.330768638,1379
23,2301_饼干糕点,2312_糕饼,23125_含馅饼、酥,2336,糕点,101009291,三立107.8g巧克力味夹心薄脆饼干,三立,107g,0-149g/ml,含馅饼、酥,袋,巧克力,22.7,20元以上,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0,0,0,0,0,0,0,0,533
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,800025907,嘉士利800g甜薄脆,嘉士利,800g,300g/ml以上,休闲饼干,盒,原味,22.9,15元以上,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.1237,2.741417355,39.07727472,8.0867,0.364774812,201,-0.30970982,-0.333565444,2841
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,102879132,卡贝罗300g字母形巧克力榛子谷物饼干,卡贝罗,300g,300g/ml以上,休闲饼干,袋,巧克力,24.9,15元以上,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0247,0.493343434,10.32850077,40.4115,2.026985524,22,-0.53041825,-0.590443007,1771
23,2301_饼干糕点,2311_饼干,23111_威化饼干,2312,威化,108627139,波特小姐100g威化卷心酥奶油甜点味饼干,波特小姐,100g,0-149g/ml,威化饼干,盒,奶油、奶酪,25.9,25元以上,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0174,0.375409722,-10.39383389,57.5954,2.663756266,8,-0.21621622,-0.374960978,487
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,101009573,三立104g盒装饼干卷,三立,104g,100-299g/ml,休闲饼干,盒,原味,26.7,15元以上,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0056,0.036388889,-27.19785361,180.1802,27.48091603,2,-0.93770857,-0.985318307,533
23,2301_饼干糕点,2311_饼干,23115_夹心饼干,2314,饼干,105252992,奥利奥388g原味夹心饼干礼盒装,奥利奥,388g,200g/ml以上,夹心饼干,盒,原味,33.8,25元以上,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0611,2.44156685,-18.57496546,16.3565,0.409573058,209,-0.82472748,-0.842894089,1170
